@relation 'london_housing_with_stations-weka.filters.unsupervised.attribute.Remove-R1,5-10,12-15-weka.filters.unsupervised.attribute.Remove-R1,4'

@attribute house_type {House,'Flat / Apartment','New development',Penthouse,Studio,Duplex,Mews}
@attribute area_in_sq_ft numeric
@attribute price_per_sqft numeric
@attribute distance_miles numeric

@data
House,804,90.174129,0.49
House,1069,102.899906,0.84
'New development',2258,4.428698,0.29
'New development',870,68.965517,0.9
'Flat / Apartment',537,129.422719,0.37
House,1921,75.48152,0.24
House,1674,77.359618,0.16
'Flat / Apartment',1500,173.333333,0.3
House,570,105.263158,0.31
House,900,99.444444,0.67
Penthouse,1112,104.316547,0.63
'Flat / Apartment',622,80.385852,3.63
'Flat / Apartment',797,78.419072,0.3
'Flat / Apartment',377,119.363395,0.19
'Flat / Apartment',649,192.604006,0.99
'Flat / Apartment',1055,156.398104,0.32
Penthouse,1575,219.047619,0.24
'Flat / Apartment',1657,179.54134,0.24
House,1266,197.472354,0.33
'Flat / Apartment',1064,202.067669,0.69
'Flat / Apartment',1053,189.458689,0.64
'Flat / Apartment',1045,162.679426,1.54
'Flat / Apartment',1722,150.987224,0.21
'Flat / Apartment',905,185.082873,0.68
'Flat / Apartment',776,192.654639,2.09
'Flat / Apartment',1398,207.081545,0.36
'Flat / Apartment',675,214.814815,0.39
'Flat / Apartment',691,115.050651,0.67
'Flat / Apartment',1522,124.507227,0.64
'Flat / Apartment',1480,125,0.29
'Flat / Apartment',1804,194.013304,0.3
Studio,410,109.756098,0.11
'Flat / Apartment',1850,156.486486,0.36
'Flat / Apartment',1317,94.91268,0.27
'Flat / Apartment',2713,156.653151,0.33
'Flat / Apartment',1162,111.876076,0.35
'Flat / Apartment',793,148.171501,0.27
Penthouse,1894,234.952482,0.22
'Flat / Apartment',923,167.930661,0.09
'Flat / Apartment',914,142.231947,0.25
House,1899,76.355977,0.27
House,1503,78.176979,0.32
'New development',823,96.597813,2.07
House,3104,153.028351,0.59
'Flat / Apartment',743,87.483176,0.55
House,1167,72.836332,0.58
'Flat / Apartment',779,71.887035,0.44
House,960,94.791667,0.75
'Flat / Apartment',621,644.041868,0.69
'Flat / Apartment',592,78.547297,0.69
House,2352,65.263605,3.56
'Flat / Apartment',1702,76.086957,2.13
